claim,method,hessian,d,param,eta_op,eta_formula,bound_lo,bound_hi,rho_at_formula,rel_err,bound_ok,mc_eta
2,ZO-GDM,random_dense_d40_two_group,40,0.6,0.03604196324749103,0.036041963247488616,0.035955056179775284,0.0380952380952381,0.9999999999999987,6.69978786110652e-14,True,nan
2,ZO-GDM,random_dense_d40_two_group,40,0.9,0.009087983285204635,0.009087983285307858,0.00906921241050119,0.009523809523809521,1.000000000000001,1.1358183930795734e-11,True,nan
2,ZO-GDM,random_dense_d40_linear,40,0.0,0.09275929000022538,0.09275929000022633,0.09009009009009011,0.09900990099009903,1.0000000000000027,1.0173531631484896e-14,True,nan
2,ZO-GDM,random_dense_d40_linear,40,0.3,0.06589752319451515,0.06589752319451332,0.06440198159943385,0.06930693069306931,1.000000000000001,2.77987381289625e-14,True,nan
2,ZO-GDM,random_dense_d40_linear,40,0.6,0.03800808681758367,0.038008086815552226,0.0372960372960373,0.03960396039603961,1.0,5.344769040741239e-11,True,nan
2,ZO-GDM,random_dense_d40_linear,40,0.9,0.009563129169715294,0.009563129169717355,0.00941059930658742,0.009900990099009901,1.000000000000009,2.1549970233449818e-13,True,nan
3,ZO-Adam,random_dense_d40_decay,40,0.1,0.843804532455196,0.8438045324552271,0.69679208230637,1.0197808054563775,0.9999999999999997,3.6840575623660616e-14,True,nan
3,ZO-Adam,random_dense_d40_decay,40,0.5,0.8905218103857534,0.8905218103857494,0.761071950046738,1.0197808054563775,0.9999999999999976,4.488158338221115e-15,True,nan
3,ZO-Adam,random_dense_d40_decay,40,0.9,0.9177588143878693,0.91775881438793,0.8040131319555519,1.0197808054563775,1.0000000000000067,6.617119715433892e-14,True,nan
3,ZO-Adam,random_dense_d40_two_group,40,0.1,0.13532176741516824,0.13532176741517377,0.13207732729284194,0.1458774573676722,0.9999999999999996,4.0816489859788914e-14,True,nan
3,ZO-Adam,random_dense_d40_two_group,40,0.5,0.1379983278771408,0.13799832787932204,0.13549545637415528,0.1458774573676722,0.9999999999999953,1.5806187324334016e-11,True,nan
3,ZO-Adam,random_dense_d40_two_group,40,0.9,0.13959221929486795,0.1395922192948755,0.13755646725779636,0.1458774573676722,1.0000000000000036,5.408264590667061e-14,True,nan
3,ZO-Adam,random_dense_d40_linear,40,0.1,0.13154789293037097,0.1315478929303837,0.13011279799445588,0.13829166889405997,1.0000000000000004,9.663441465144086e-14,True,nan
3,ZO-Adam,random_dense_d40_linear,40,0.5,0.1332842706864277,0.13328427068643373,0.1321977210704519,0.13829166889405997,1.0000000000000058,4.5188827440569984e-14,True,nan
3,ZO-Adam,random_dense_d40_linear,40,0.9,0.1343095860943332,0.13430958609439222,0.13343560761333853,0.13829166889405997,1.000000000000001,4.395524627181292e-13,True,nan
1-control,ZO-GD vs GD,spectrum_mult1,100,nan,0.18577669772428848,0.18577669772428848,nan,nan,nan,nan,True,2.0
1-control,ZO-GD vs GD,spectrum_mult2,100,nan,0.12441105319949791,0.12441105319949791,nan,nan,nan,nan,True,2.0
1-control,ZO-GD vs GD,spectrum_mult4,100,nan,0.07394891222340783,0.07394891222340783,nan,nan,nan,nan,True,1.0
1-mc,ZO-GD,random_dense_d40_decay,40,nan,0.4663932530080556,0.4663932530080556,nan,nan,nan,nan,True,0.5005930229520799
1-mc,ZO-GD,random_dense_d40_two_group,40,nan,0.08727249460877205,0.08727249460877205,nan,nan,nan,nan,True,0.08984982300281513
1-mc,ZO-GD,random_dense_d40_linear,40,nan,0.09275929000021653,0.09275929000021653,nan,nan,nan,nan,True,0.09788356540203097
